code_from,pop_from
1,458440.5858576719
2,687746.5215206535
3,304943.9162423542
4,366645.216415485
5,1262555.3250710631
6,459299.9773646784
7,790159.4650506813
8,348631.8879513481
9,208633.10807666671
10,860968.2268278338
11,105071.55570400879
12,59012.199434659444
32,268870.578587261
33,1209096.024296044
34,380050.5609634195
35,4884997.461602644
36,107875.67903907725
37,18804287.595879428
38,375454.6711527961
39,96550.18124481622
40,155021.7121407577
41,66409.99397597904
42,568901.546811433
43,72471.85423435993
44,72201.42255339667
45,212892.5376905268
46,227779.64337836427
47,47851.755607487634
48,28836.58054201957
49,764296.9802031347
50,274164.06616612436
51,1342666.4229475074
52,92514.18385116546
53,99478.41542426124
54,108541.36926463456
55,240717.65381766343
56,83684.95615238813
57,89937.5917686075
58,5807261.821618947
59,3526722.41993277
60,1740536.9110040097
61,502103.3348820987
62,2507466.7890174263
63,50893.34527923353
64,1794895.339784499
65,135271.40861716773
66,937042.7247907065
67,158521.04526453174
68,55237.22130423505
69,121185.46592526161
70,2701497.062713664
71,699653.7763568343
72,3267013.5832781238
73,45095.489011385944
74,216831.40012199385
75,22262.369417263777
76,18123.641616784735
77,16009.630593578884
78,1002806.1981405497
79,240041.22534949193
80,172166.26245793496
81,53274.93664567266
82,17593.389562976314
83,21084.999978033826
84,709267.4309130741
85,40760.182472625165
86,44446.314078422496
87,15526.206526517824
88,3593178.3983040825
89,756269.9602807432
90,4850143.544826056
91,4104670.056516881
92,508839.61020570784
93,1783385.5432078138
94,298700.9772397969
95,2728797.646798862
96,4706440.40921004
97,1052619.322828796
98,3312093.752569923
99,1238938.2178608335
100,785272.5808360642
101,665121.7855403728
102,12345.571140484884
103,498856.5578150938
104,838091.931344466
105,3164618.618890058
106,94736.79493764043
107,217880.80806819885
108,142790.15231439797
109,1833296.7203247962
110,473013.572549997
111,115985.61445029848
112,189541.76034141262
113,463703.9647301512
114,168433.92622411996
115,680538.745671674
116,446697.23426158144
117,3933100.726593371
118,799989.3978385609
119,354433.71507494245
120,282280.26073258417
121,119419.56200660556
122,53608.9027740343
123,179649.33302848646
124,76279.15186707093
129,859051.1873769514
130,15915.177697399748
131,366190.33902018727
132,55651.827439630084
133,187966.19681077963
134,157758.26879611262
135,716328.2452383296
136,45666.883194111695
137,181921.8741142538
138,12150.273481155746
139,207248.5659764827
140,43230.00000775431
141,152681.30989821604
