code_from,pop_from
1,182114.1626665881
2,100847.01641014923
3,155728.67966934433
4,113012.02700398117
5,152715.89578289725
6,107711.54807231389
7,110841.07901894487
8,123531.40865785861
9,127820.29393892328
10,115772.22847275482
11,149140.94996940484
12,139547.03493565856
13,124968.50690208538
14,100081.9764089603
15,125222.00444879569
16,114916.81200317899
17,117781.94785268907
18,132917.04150438472
19,186346.9448733176
20,183872.40945322206
21,137123.33562658355
22,129824.68563060835
23,132196.43865314638
24,115235.00682073191
25,109101.12972159125
26,105465.63482022285
27,100023.27306346036
28,115264.69616333442
29,126703.15647219121
30,104354.88431624277
31,150248.8828253327
32,101933.16795864038
33,127307.75112666399
34,128904.93869439815
35,115106.64885174274
36,110386.09959823266
37,138385.04389320593
38,129483.11373222293
39,145542.10378683102
45,185692.7498256804
46,143922.78734877316
47,120900.525348939
48,106589.52844687551
49,165963.6872066185
50,122719.08212049305
51,127741.70068007708
52,107997.10423767427
53,108443.801010394
54,128207.2798468913
55,111572.64968501776
56,128398.95823496301
57,104527.98771639355
58,111367.60617309622
59,109514.47990288492
60,110707.46712969244
61,110182.99461175501
62,115694.10037532845
63,117119.2200822644
64,108348.17546348087
65,166528.34209243604
66,102198.98617290054
67,115918.64667392522
68,114265.368792278
69,114658.00752116647
70,129891.0655923374
71,121057.5724335165
72,110100.73636105843
73,138958.5869906349
74,126624.5434074495
75,123434.01410110295
76,146259.65578300878
77,122520.87900748476
78,164720.15151306987
79,166237.67677449994
80,100482.13560217398
81,140603.01318300876
82,109519.23719274369
83,101037.66554199066
84,104069.21478022542
85,147171.80344810023
86,121795.69942940492
87,143397.87429206073
88,169932.81213216763
89,170634.01324436394
90,111655.85501875787
91,110968.22227315605
92,137277.6662506368
93,116398.02541257814
94,109582.91871940903
95,108270.16224116273
96,113644.8247648105
97,116451.40500296978
98,114846.29870239645
99,122516.65641591512
100,132157.42868080304
101,99666.5648912494
102,170647.34760498162
103,113230.73922993056
104,139882.52088001836
105,105577.31420022994
106,154719.68436952634
107,115494.7328831947
108,111372.66565553285
109,152447.50713238335
110,133580.63329174824
111,114482.68745163456
112,196092.05039983522
113,129109.61796995881
114,204344.2435246241
115,132716.91739949305
116,172041.20978144673
117,149939.23683267273
118,200281.00199542497
119,197397.88070347998
120,172048.54638037935
121,129159.503220101
122,143195.91857386008
123,104105.72140060179
124,105906.01206895895
125,124754.32741975598
126,193169.68759023026
127,107392.84207828343
128,101891.3227347359
129,105535.66067412868
130,125048.64014762267
131,125460.25262467004
132,118200.72383927647
133,115246.08128530555
134,99654.80489606131
135,100743.45344320312
136,190830.95255458623
137,210622.46599129867
138,131794.9718247318
139,128834.28338725446
140,143867.73287439253
141,120143.04993126914
142,125525.54607084952
143,141081.40538352868
144,122687.45126438886
145,103066.84843853116
146,177332.6704255594
147,102546.83932879753
148,131860.46839617612
149,190292.00247416645
150,145319.0017489181
151,184211.38399451599
152,110477.50493693165
153,179841.99261976208
154,116522.83412212727
155,129651.01879609842
156,133199.58914650776
157,135261.96760087367
158,175859.08358464652
159,168136.145478338
160,113830.64304391295
161,191250.81217972015
162,154950.56885120962
163,106878.10855570668
164,170098.5698348116
165,151496.79493525252
166,158530.18041258014
167,180530.4753842936
168,186930.33620782197
169,179287.1790173333
170,142872.95971132908
171,148355.67003010772
172,137111.3072806336
173,111445.31206811965
174,180510.49522361346
175,163881.26466874406
176,151458.9317094423
177,114913.69822993246
178,107288.42770320573
179,120378.91843570769
180,104740.83767269389
181,190348.40336982906
182,136723.36152653163
183,195920.3752149772
184,122889.35744093172
185,135552.36666333303
186,166101.8536823131
187,142712.78951247782
188,173493.6763289841
189,182038.6965758782
190,106524.17552330624
191,167379.548427511
192,109371.83242343646
193,172177.64731150866
194,113342.28935548663
195,191998.845702596
196,182688.20852069557
197,115629.42936953902
198,125893.61084921286
199,127317.59919713461
200,170881.4086087849
201,127531.32097445987
202,133142.63305254094
203,129012.73943049973
204,115272.59795126878
205,188783.34083225392
206,121641.11120904982
207,108858.8802510947
208,164037.0041602617
209,187969.73726086412
210,178119.6760164518
211,157204.8160902583
212,165950.4249437414
213,112673.17362832837
214,134984.68651702907
215,159177.05746788415
216,157235.56570478017
217,114299.69629554474
218,143897.04265919002
219,126156.90108667687
220,118497.92840582761
221,145112.72872847877
222,162782.75954214192
223,101882.27194700157
224,178655.40794087388
225,108650.4865039736
226,100531.18170093931
227,107850.5255341893
228,102965.69066643863
229,126664.62425006926
230,140309.6300673955
231,115901.63816880435
232,105991.97558166832
233,111030.77179564163
234,118466.77595735993
235,114012.56363307592
236,103768.75614984194
237,132639.14403962716
238,155642.50431241468
239,102717.35849345662
240,157796.7574484786
241,115072.09605687918
242,162229.94360222522
243,182446.16929530073
244,177082.8751636725
245,141039.79950459558
246,137909.305286924
247,104836.1710403962
248,190879.63976560626
249,197286.2484307659
250,184904.6620450809
251,147276.1789886058
252,170293.57837345824
253,159579.09923512023
254,196082.49686194677
255,144649.11111311987
256,155343.68967829365
257,179818.70960635412
258,195763.9433988689
259,146109.24987937417
260,137097.79465265945
261,126844.87048559263
262,142234.98736804724
263,106730.74854836892
264,178852.89753800916
265,117320.6185206417
266,110082.41820812644
267,186836.2008685004
268,153637.1157965432
269,134498.86834708322
270,115944.02451599296
271,185868.44427175773
272,131454.64420481026
273,173683.57054145075
274,132914.97516839858
275,170311.78205633909
276,174154.74507871317
277,159230.18961854966
278,104836.35478000809
279,115664.85859369859
280,104537.42665922455
281,102575.42525228206
282,150844.7596016525
283,108055.10392276198
284,137233.33548675012
285,140540.79427293502
286,185195.37219259143
287,131684.21173724346
288,111607.81003914773
289,119415.08718616515
290,137843.74635535432
291,122867.74720148719
292,126105.31663984805
293,132762.24092563055
294,147600.02740522847
295,118570.58259794116
296,105475.55624355702
297,141686.66614807583
298,106269.18957104255
299,109222.2970770672
300,103626.69636975206
301,138166.1657126529
302,188113.95739993453
303,182701.1043687379
304,119100.99843909778
305,147139.84944070387
306,113477.27091298497
307,177850.24755778862
308,110882.02702022064
309,174520.62939773686
310,127238.05446329713
311,121797.1667769514
312,111492.63772494486
313,110607.30390101671
314,179516.34843712952
315,169756.63086144417
316,194802.115728457
317,124769.35491110012
318,144001.65552793106
319,112222.75381817855
320,128269.38521811482
321,164202.14564937074
322,123829.79771092255
323,122611.9796869196
324,189454.56802659668
325,159369.1985313557
326,166161.8076065604
327,175559.73768110992
328,164675.40261045285
329,139993.62402827712
330,116390.78775318619
331,131258.67313421937
332,126174.15838427283
333,173172.54212194495
334,149576.058384113
335,131975.04825995862
336,167558.49478321522
337,180107.574748418
338,114338.03884787881
339,101258.76958235353
340,114375.76737590972
341,106649.88012897968
342,128180.11913597584
343,99858.1241491139
344,104583.18723740429
345,101097.36825793982
346,197378.25031215698
347,170207.11055308022
348,125940.5824174819
349,162917.65396999754
350,120570.98417501245
351,165809.74212461384
352,111859.13521921553
353,142498.7187563905
354,123132.55945923773
355,110877.10862388834
356,128869.97754294984
357,139503.2864184659
358,117699.04518456408
359,133579.29757253197
360,82682.00804024795
361,205755.47234271467
362,109133.04916146398
363,127780.48308475222
364,143213.55428043567
365,140183.0771592073
366,160314.36031293496
367,108771.19015290216
368,113056.88876904827
369,102513.83230673149
370,159831.66595449718
371,125849.42785472237
372,107874.72493940499
373,166823.62379513332
374,117202.26240881626
375,133476.0386219963
376,115189.7397798053
377,152918.58121990878
378,116925.65099667758
379,181473.52675161045
380,154252.94882581243
381,155308.31979708117
382,142309.7098124493
383,125887.8065816313
384,121011.10279001947
385,101167.01812034706
386,139125.27047194634
387,123253.6647875765
388,125742.11739557516
389,181647.11042472743
390,114752.66567527968
391,180680.1151271714
392,153724.9082719921
393,161689.29547634535
394,156223.76482660417
395,150318.75528215244
396,194679.10697588325
397,127223.79816309595
398,110459.99759424315
399,129078.26962595433
400,130171.51937619015
401,101478.15681521175
402,114695.14734438062
403,105724.94149485981
404,119750.07263784995
405,104064.91905437654
406,145585.07306240126
407,105256.23589830683
408,108309.16004735394
409,124026.78768948745
410,126215.1205483079
411,165921.76328264968
412,127134.98624303006
413,122201.820072148
414,150024.5856910944
415,134890.34921250818
416,119883.30089640059
417,120034.31897838227
418,98755.13391306298
419,124094.28152891435
420,102489.83183067455
421,182053.87432093103
422,116469.79747254355
423,179108.5271573607
424,134017.91587287
425,105895.99471501133
426,111567.91007322446
427,112811.16243410856
428,121647.57246677577
429,120868.97647085786
430,148051.7200611859
431,175985.19255276397
432,121364.3497411958
433,120032.71214438649
434,175559.3831125833
435,119781.61739041863
436,98866.43988579616
437,108855.34870386706
438,149533.091981994
439,112243.43138594367
440,108101.12706529163
441,132071.45182348788
442,140806.15120424982
443,114572.44976391154
444,114578.79203675524
445,155840.77595685143
446,102828.64618490543
447,137213.02395585878
448,112150.15288253769
449,120529.28131482471
450,159141.46146641136
451,113473.98512688396
452,140649.23872317374
453,113314.0364391217
454,154439.82101038843
455,160334.68962953705
456,106608.62201820104
457,121777.64724341349
458,157567.4142478397
459,173479.997554861
460,132503.83756877482
461,135998.09673746396
462,166297.62805969873
463,133453.6952894861
464,113755.24732226413
465,177086.96330633294
466,158482.18451946042
467,147807.8990537962
468,177171.87929319357
469,196611.96236328408
470,104471.28580622375
471,117643.59388552234
472,197630.62288841605
473,126283.01819531992
474,122809.85010833107
475,105554.16887786193
476,108931.95993376384
477,97613.41333092656
478,176905.4005958705
479,111718.75442195078
480,116305.45888414979
481,110543.55066993088
482,109797.30886560865
483,109544.81179431081
484,137859.67143260688
485,112990.62064638734
486,105317.8060364481
487,156259.83091282938
488,119974.38875605538
489,117218.15347806085
490,172503.02897086903
491,189973.399494895
492,102362.22928326577
493,119035.47694880678
494,127756.35630132305
495,146423.90769239143
496,98874.57247428875
497,102267.14831634238
498,102133.21178531647
499,101327.47743073106
500,104948.22214783728
501,105480.83299013972
502,184009.99685038254
503,105600.98945008218
504,130168.50947336107
505,115434.04099640623
506,114716.62240551366
507,116825.62008208781
508,101814.11749010999
509,125565.84494292177
510,100485.58546612784
511,103194.15388989821
512,119328.71446566377
513,102845.24058311433
514,184227.2232590716
515,185115.77707713563
516,152953.6218703296
517,105039.0641737748
518,112172.79196257889
519,120374.19075308368
520,114505.49471656699
521,135708.37339349804
522,148876.72405022685
523,148613.76105603448
524,124346.31151051284
525,169222.175997179
526,116584.24579610303
527,145827.50202302728
528,157136.96512539405
529,130821.72224108316
530,101863.60683740396
531,116416.67347311694
532,102257.510733651
533,115135.39107545954
534,104625.51774851931
535,101313.43747773417
536,194170.99168158416
537,151063.78475293564
538,100544.81282409746
539,165421.66094467416
540,126496.19012372941
541,177068.63706832286
542,135275.83008881984
543,148871.33956686407
544,109174.96693995781
545,102554.14300785959
546,118652.27459144406
547,117579.97776323906
548,115807.73220102722
549,158925.82539235987
550,103659.35993622337
551,131599.76435543946
552,147359.62447088026
553,122292.12752110139
554,103740.52580408007
555,174972.48085472547
556,121313.3429786805
557,130177.27033503458
558,104102.29435329139
559,145987.45800844952
560,145716.63091515563
561,141958.9904673067
562,121197.57394733839
563,134154.18972476386
564,107969.72051710356
565,114351.06614670914
566,149161.1629200438
567,157234.23353045713
568,110896.09203661745
569,116776.66564071178
570,101047.63820888102
571,104135.46444956027
572,102652.70096103847
573,121929.28867911687
574,111002.5550279785
575,101280.94038055744
576,122215.3950190274
577,100641.77758411472
578,108381.23906840384
579,101584.68203285709
580,114990.38316398114
581,116005.34969586227
582,103366.79039315507
583,106414.48554866784
584,104467.05184979457
585,108506.23351041973
586,103686.57129640877
587,102743.22878485918
588,141534.89007949457
589,129784.3736315514
590,109993.50084903836
591,103469.62302639149
592,114666.44447738025
593,107801.68691483699
594,99296.24035701621
595,150633.9193816604
596,144012.71940539032
597,171726.71425255097
598,172748.81217449915
599,126463.81141665997
600,117156.97098301351
601,121074.3617617269
602,129985.28284993395
603,151295.61472494504
604,137138.80930895917
605,101245.32069443213
606,100389.74467875424
607,181561.58007930126
608,114718.8626104733
609,127307.80406765733
610,164070.37426758837
611,141041.29315553978
612,139651.36944700778
613,166998.20695204195
614,126678.56466486864
615,121391.82091041072
616,112754.74431508966
617,123545.29513815278
618,145345.05886820777
619,141071.72210534313
620,124970.41882909602
621,140108.334952645
622,153623.68041070085
623,123849.93856228609
624,110390.13164977543
625,111301.00350365974
626,109568.64126070915
627,107141.39729245263
628,116538.63886507414
629,159064.06829202175
630,109694.30685440078
631,105209.88423171733
632,174741.76804697467
633,150807.23181182565
634,156620.39451864315
635,124763.07960324548
636,105659.86100078444
637,102345.63244142383
638,137470.4240124505
639,104178.22233844036
640,103732.07497041207
641,119378.33442011755
642,184037.97385767475
643,129018.43304449972
644,144988.79563906975
645,157482.12946251268
646,120757.3360266313
647,114026.5402720999
648,113380.31009711605
649,121856.5595490858
650,129553.17431693693
651,127711.07909099013
652,146651.48458966194
653,139608.7191944085
