CZ20,CZ2010,CZ2010_name,pop_overlap,share_of_CZ20,afactor,CZ20_total_pop,cells,grid_res_m,crs_epsg,method
118,412,NA,43507.61256297934,0.05438523645504518,0.05438523645504518,799989.3978385609,12994,100,5070,building_footprint_area
8,566,NA,346575.2299250179,0.9941007747787627,0.9941007747787627,348631.8879513481,110553,100,5070,building_footprint_area
10,569,NA,860099.1763094552,0.9989906125553778,0.9989906125553778,860968.2268278338,169187,100,5070,building_footprint_area
118,603,NA,516668.5235005468,0.6458442135564544,0.6458442135564544,799989.3978385609,78500,100,5070,building_footprint_area
496,419,NA,203479.53155233595,0.9612894350356136,0.9612894350356136,211673.53362704697,60382,100,5070,building_footprint_area
118,566,NA,10.667569398880005,1.3334638468587227e-5,1.3334638468587227e-5,799989.3978385609,4,100,5070,building_footprint_area
8,569,NA,641.361455835402,0.0018396523037643206,0.0018396523037643206,348631.8879513481,202,100,5070,building_footprint_area
10,566,NA,218.1014454215765,2.5332113151858485e-4,2.5332113151858485e-4,860968.2268278338,104,100,5070,building_footprint_area
110,595,NA,332366.12684340053,0.7026566384800085,0.7026566384800085,473013.572549997,71091,100,5070,building_footprint_area
297,614,NA,77970.6760258053,0.2370722260653598,0.2370722260653598,328889.9645473828,27077,100,5070,building_footprint_area
8,595,NA,6.780556857585907,1.9449043796395756e-5,1.9449043796395756e-5,348631.8879513481,6,100,5070,building_footprint_area
10,614,NA,5.605835825204849,6.511083278716437e-6,6.511083278716437e-6,860968.2268278338,4,100,5070,building_footprint_area
10,618,NA,6.929095089435577,8.048026481726573e-6,8.048026481726573e-6,860968.2268278338,5,100,5070,building_footprint_area
5,566,NA,1834.6355106942356,0.0014531129640524647,0.0014531129640524647,1262555.3250710631,764,100,5070,building_footprint_area
5,569,NA,36.855361342430115,2.919108621268197e-5,2.919108621268197e-5,1262555.3250710631,10,100,5070,building_footprint_area
5,571,NA,174399.08210070315,0.1381318336215382,0.1381318336215382,1262555.3250710631,63959,100,5070,building_footprint_area
10,571,NA,87.66986917704344,1.0182706683620116e-4,1.0182706683620116e-4,860968.2268278338,43,100,5070,building_footprint_area
5,563,NA,1083849.6180348112,0.8584571277886826,0.8584571277886826,1262555.3250710631,163705,100,5070,building_footprint_area
8,563,NA,1056.3117640167475,0.003029877072415581,0.003029877072415581,348631.8879513481,287,100,5070,building_footprint_area
12,571,NA,58984.4640029436,0.9995300051178985,0.9995300051178985,59012.199434659444,25293,100,5070,building_footprint_area
