PUMA20,PUMA20_name,CZ20,CZ20_name,pop_overlap,share_of_PUMA20,afactor,PUMA20_total_pop,cells,grid_res_m,crs_epsg,method,PUMA20_state_fips,PUMA20_state
G01000600,DeKalb & Jackson Counties PUMA,118,NA,10.753566592931747,8.705127473058768e-5,8.705127473058768e-5,123531.40865785861,6,100,5070,building_footprint_area,01,AL
G01000600,DeKalb & Jackson Counties PUMA,8,NA,123520.65509126568,0.9999129487252694,0.9999129487252694,123531.40865785861,47284,100,5070,building_footprint_area,01,AL
G47003300,"Warren, Marion & Sequatchie Counties--McMinnville city PUMA",118,NA,44211.062331448076,0.4238806195447767,0.4238806195447767,104300.74009736092,13254,100,5070,building_footprint_area,47,TN
G01000401,Madison County (North & East)--Huntsville City (East) PUMA,10,NA,113012.02700398117,1,1,113012.02700398117,21095,100,5070,building_footprint_area,01,AL
G47003100,"Bedford, Lincoln & Marshall Counties--Shelbyville & Lewisburg cities PUMA",10,NA,35285.36783801764,0.29496150041723795,0.29496150041723795,119627.02857188042,14323,100,5070,building_footprint_area,47,TN
G13000100,"Northwest Georgia Regional Commission--Walker, Catoosa, Chattooga & Dade Counties PUMA",118,NA,151204.8641856364,0.8587110079266211,0.8587110079266211,176083.52843959024,33534,100,5070,building_footprint_area,13,GA
G01000200,Limestone County PUMA,10,NA,100827.87408759404,0.999810184542522,0.999810184542522,100847.01641014923,21236,100,5070,building_footprint_area,01,AL
G47003000,"Lawrence, Giles & Wayne Counties--Lawrenceburg city PUMA",496,NA,110832.72362376447,0.9997824957560135,0.9997824957560135,110856.83545595105,42629,100,5070,building_footprint_area,47,TN
G01000200,Limestone County PUMA,496,NA,19.142322555184364,1.898154574780051e-4,1.898154574780051e-4,100847.01641014923,5,100,5070,building_footprint_area,01,AL
G47003000,"Lawrence, Giles & Wayne Counties--Lawrenceburg city PUMA",10,NA,21.00698582828045,1.8949653164714026e-4,1.8949653164714026e-4,110856.83545595105,9,100,5070,building_footprint_area,47,TN
G01000100,"Lauderdale, Colbert & Franklin Counties PUMA",10,NA,182112.01538100746,0.9999882091236113,0.9999882091236113,182114.1626665881,48762,100,5070,building_footprint_area,01,AL
G01000100,"Lauderdale, Colbert & Franklin Counties PUMA",496,NA,2.147285580635071,1.179087638870948e-5,1.179087638870948e-5,182114.1626665881,2,100,5070,building_footprint_area,01,AL
G01000402,"Huntsville (North & Far West), Madison (East) & Triana Cities PUMA",10,NA,152715.89578289725,1,1,152715.89578289725,13026,100,5070,building_footprint_area,01,AL
G01000403,Huntsville City (Central & South) PUMA,10,NA,107711.54807231389,1,1,107711.54807231389,8672,100,5070,building_footprint_area,01,AL
G01000300,Morgan & Lawrence Counties--Decatur City PUMA,10,NA,155728.67966934433,1,1,155728.67966934433,39120,100,5070,building_footprint_area,01,AL
G01000501,Marshall & Madison (Far Southeast) Counties PUMA,10,NA,13546.85499196127,0.12221872172180724,0.12221872172180724,110841.07901894487,3337,100,5070,building_footprint_area,01,AL
G01000501,Marshall & Madison (Far Southeast) Counties PUMA,8,NA,97293.40068710409,0.8777738501668211,0.8777738501668211,110841.07901894487,26647,100,5070,building_footprint_area,01,AL
G01000700,Etowah & Cherokee Counties PUMA,8,NA,127814.13176296989,0.999951790316205,0.999951790316205,127820.29393892328,37280,100,5070,building_footprint_area,01,AL
G01000700,Etowah & Cherokee Counties PUMA,110,NA,6.162175953388214,4.8209683795068594e-5,4.8209683795068594e-5,127820.29393892328,4,100,5070,building_footprint_area,01,AL
G28000200,"Northeast Region--Alcorn, Benton, Marshall, Prentiss, Tippah & Tishomingo Counties PUMA",297,NA,99793.83938363357,0.7086128222292128,0.7086128222292128,140829.85271095415,35837,100,5070,building_footprint_area,28,MS
G01001000,"Cullman, Marion & Winston Counties PUMA",5,NA,110616.14995128498,0.7926800451352274,0.7926800451352274,139547.03493565856,42470,100,5070,building_footprint_area,01,AL
G13001000,"Northwest Georgia Regional Commission (Southwest)--Floyd, Polk & Haralson Counties PUMA",110,NA,140899.87643236364,0.8254163288360298,0.8254163288360298,170701.5859875891,29846,100,5070,building_footprint_area,13,GA
G01001000,"Cullman, Marion & Winston Counties PUMA",10,NA,4.798716217279434,3.438780493968929e-5,3.438780493968929e-5,139547.03493565856,4,100,5070,building_footprint_area,01,AL
G01000900,St. Clair & Blount Counties PUMA,5,NA,149140.94996940484,1,1,149140.94996940484,42739,100,5070,building_footprint_area,01,AL
G01001000,"Cullman, Marion & Winston Counties PUMA",12,NA,28926.0862681563,0.20728556705983292,0.20728556705983292,139547.03493565856,11420,100,5070,building_footprint_area,01,AL
G28000400,"Three Rivers Region--Calhoun, Chickasaw, Itawamba, Lafayette & Monroe Counties PUMA",297,NA,87655.20578220498,0.6138703975485285,0.6138703975485285,142791.06165121042,33009,100,5070,building_footprint_area,28,MS
G01000501,Marshall & Madison (Far Southeast) Counties PUMA,5,NA,0.8233398795127869,7.428111371705992e-6,7.428111371705992e-6,110841.07901894487,1,100,5070,building_footprint_area,01,AL
G01001600,"Talladega, Randolph, Cleburne & Clay Counties PUMA",6,NA,132196.43865314638,1,1,132196.43865314638,45114,100,5070,building_footprint_area,01,AL
G01000800,Calhoun County PUMA,6,NA,115772.22847275482,1,1,115772.22847275482,24745,100,5070,building_footprint_area,01,AL
G01001301,"Jefferson (Northwest) & Walker Counties--Adamsville, Warrior & Graysville Cities PUMA",5,NA,114916.81200317899,1,1,114916.81200317899,33314,100,5070,building_footprint_area,01,AL
G01001100,West Alabama PUMA,12,NA,30081.266113511752,0.24071077473207594,0.24071077473207594,124968.50690208538,13888,100,5070,building_footprint_area,01,AL
G13001000,"Northwest Georgia Regional Commission (Southwest)--Floyd, Polk & Haralson Counties PUMA",6,NA,29800.29022701271,0.17457535648895112,0.17457535648895112,170701.5859875891,9379,100,5070,building_footprint_area,13,GA
G01001100,West Alabama PUMA,5,NA,1.6857831478118896,1.3489663832926523e-5,1.3489663832926523e-5,124968.50690208538,1,100,5070,building_footprint_area,01,AL
G01001402,"Jefferson County (Northeast)--Trussville, Center Point & Gardendale Cities PUMA",5,NA,132917.04150438472,1,1,132917.04150438472,15666,100,5070,building_footprint_area,01,AL
