PUMA20_GISJOIN,CZ90,CZ90_name,pop_overlap,share_of_PUMA20,PUMA20_total_pop,cells,grid_res_m,crs_epsg,method,PUMA20_name,state_fips,state,afactor,GISJOIN,STATEFP20,PUMACE20,GEOID20
G24001101,11304,"Arlington CDP, VA",127535.2383,1.0,127535.2383,2579,100,5070,building_footprint_area,Inner Northwest Prince George's County--College Park City & Langley Park PUMA,24,MD,1.0,G24001101,24,1101,2401101
G24001103,11304,"Arlington CDP, VA",119334.8847,1.0,119334.8847,3156,100,5070,building_footprint_area,Inner Northeast Prince George's County--New Carrollton & Hyattsville PUMA,24,MD,1.0,G24001103,24,1103,2401103
G11000103,11304,"Arlington CDP, VA",109544.8118,1.0,109544.8118,1446,100,5070,building_footprint_area,District of Columbia (Northeast) PUMA,11,DC,1.0,G11000103,11,103,1100103
G11000105,11304,"Arlington CDP, VA",112990.6206,1.0,112990.6206,734,100,5070,building_footprint_area,District of Columbia (Central) PUMA,11,DC,1.0,G11000105,11,105,1100105
G11000104,11304,"Arlington CDP, VA",137859.6714,1.0,137859.6714,2373,100,5070,building_footprint_area,District of Columbia (East) PUMA,11,DC,1.0,G11000104,11,104,1100104
G24001104,11304,"Arlington CDP, VA",120297.529,1.0,120297.529,4094,100,5070,building_footprint_area,"Central Prince George's County--Seat Pleasant City, Capitol Heights Town & Landover PUMA",24,MD,1.0,G24001104,24,1104,2401104
G11000106,11304,"Arlington CDP, VA",105317.806,1.0,105317.806,1027,100,5070,building_footprint_area,District of Columbia (South Central) PUMA,11,DC,1.0,G11000106,11,106,1100106
G24001107,11304,"Arlington CDP, VA",122510.4047,1.0,122510.4047,4903,100,5070,building_footprint_area,"Southwest Prince George's County--Oxon Hill, Hillcrest Heights & Temple Hills PUMA",24,MD,1.0,G24001107,24,1107,2401107
G42003314,19700,"Philadelphia city, PA",103823.6276,1.0,103823.6276,10639,100,5070,building_footprint_area,Delaware County (West) PUMA,42,PA,1.0,G42003314,42,3314,4203314
G10000101,19700,"Philadelphia city, PA",2041.966307,0.016169762,126283.0182,165,100,5070,building_footprint_area,Brandywine/Piedmont PUMA,10,DE,0.016169762,G10000101,10,101,1000101
G10000101,19800,"Wilmington city, DE",124241.0519,0.983830238,126283.0182,10483,100,5070,building_footprint_area,Brandywine/Piedmont PUMA,10,DE,0.983830238,G10000101,10,101,1000101
G42003313,19700,"Philadelphia city, PA",147607.6624,1.0,147607.6624,4420,100,5070,building_footprint_area,Delaware County (Southeast)--Chester City PUMA,42,PA,1.0,G42003313,42,3313,4203313
G42003415,19700,"Philadelphia city, PA",104348.1582,1.0,104348.1582,19710,100,5070,building_footprint_area,Chester County (South) PUMA,42,PA,1.0,G42003415,42,3415,4203415
G10000102,19800,"Wilmington city, DE",122809.8501,1.0,122809.8501,3768,100,5070,building_footprint_area,Greater Wilmington PUMA,10,DE,1.0,G10000102,10,102,1000102
G10000103,19800,"Wilmington city, DE",105554.1689,1.0,105554.1689,5493,100,5070,building_footprint_area,Churchmans/New Castle PUMA,10,DE,1.0,G10000103,10,103,1000103
G10000104,19800,"Wilmington city, DE",108920.1776,0.999891838,108931.9599,5843,100,5070,building_footprint_area,Greater Newark PUMA,10,DE,0.999891838,G10000104,10,104,1000104
G10000104,19700,"Philadelphia city, PA",11.78231597,0.000108,108931.9599,3,100,5070,building_footprint_area,Greater Newark PUMA,10,DE,0.000108,G10000104,10,104,1000104
G24000700,19800,"Wilmington city, DE",102571.4686,0.999646705,102607.7194,18596,100,5070,building_footprint_area,Cecil County--Elkton PUMA,24,MD,0.999646705,G24000700,24,700,2400700
G10000105,19800,"Wilmington city, DE",97610.07432,0.999965794,97613.41333,11238,100,5070,building_footprint_area,South Glasgow/Middletown PUMA,10,DE,0.999965794,G10000105,10,105,1000105
G10000200,19901,"Dover city, DE",176813.0637,0.999478044,176905.4006,24868,100,5070,building_footprint_area,Kent PUMA,10,DE,0.999478044,G10000200,10,200,1000200
G24001300,19800,"Wilmington city, DE",5.944971055,3.49e-05,170355.3322,5,100,5070,building_footprint_area,"Queen Anne's, Talbot, Caroline, Dorchester & Kent Counties PUMA",24,MD,3.49e-05,G24001300,24,1300,2401300
